replication,seed,gross_sharpe,block_p_positive,hac_p_positive,romano_wolf_p,permutation_p,net_sharpe_5bps,passes_block,passes_hac,passes_romano_wolf,passes_permutation,passes_cost,passes_all
80,10856,1.4472527879025214,0.002,4.060243585790602e-09,0.002,0.005,1.416948883781175,True,True,True,True,True,True
81,10857,1.762897673704486,0.002,2.2467583349339293e-12,0.002,0.005,1.731203296343808,True,True,True,True,True,True
82,10858,1.3552331300069451,0.002,9.806989109684139e-09,0.002,0.005,1.323980745674573,True,True,True,True,True,True
83,10859,1.265655134553434,0.002,7.385884936983445e-08,0.002,0.005,1.234453328822499,True,True,True,True,True,True
84,10860,1.361779659618627,0.002,4.0180019977853476e-08,0.002,0.005,1.3312700199648568,True,True,True,True,True,True
85,10861,1.5075814368871727,0.002,1.018787054718473e-09,0.002,0.005,1.4762670241741604,True,True,True,True,True,True
86,10862,1.6220242635053979,0.002,8.640421711447743e-12,0.002,0.005,1.5902825560886051,True,True,True,True,True,True
87,10863,1.2226519371902065,0.002,3.1620707030555195e-07,0.002,0.005,1.191191518424982,True,True,True,True,True,True
88,10864,1.8482329826767232,0.002,1.5876189252139739e-13,0.002,0.005,1.8173008713573344,True,True,True,True,True,True
89,10865,1.4722572989134177,0.002,2.3372109803077024e-09,0.002,0.005,1.4407237864316238,True,True,True,True,True,True
90,10866,0.9817210938810077,0.002,2.9154300121625454e-05,0.002,0.005,0.9503675162615789,True,True,True,True,True,True
91,10867,1.3367982472261195,0.002,1.1767388841121829e-08,0.002,0.005,1.3053372996798533,True,True,True,True,True,True
92,10868,1.0888394447359178,0.002,5.282125287275896e-06,0.002,0.005,1.0582207229225258,True,True,True,True,True,True
93,10869,1.4871992472819917,0.002,2.607124516273984e-10,0.002,0.005,1.455648482422769,True,True,True,True,True,True
94,10870,1.2634785105546402,0.002,9.46977518623271e-08,0.002,0.005,1.2325792129920612,True,True,True,True,True,True
95,10871,1.62052385873957,0.002,3.733613418432924e-11,0.002,0.005,1.5896394469963833,True,True,True,True,True,True
96,10872,1.7429037169806676,0.002,1.5166756739404263e-12,0.002,0.005,1.7116900587209716,True,True,True,True,True,True
97,10873,1.0035852297063035,0.002,4.419565438107398e-05,0.002,0.005,0.9723788226941044,True,True,True,True,True,True
98,10874,0.9659614370779861,0.002,3.339531975332655e-05,0.002,0.005,0.9348476172026058,True,True,True,True,True,True
99,10875,1.0953776593126605,0.002,3.0334350782368347e-06,0.002,0.005,1.0642153423489322,True,True,True,True,True,True
100,10876,1.5883013613901336,0.002,1.6269119385015074e-10,0.002,0.005,1.5569141008157514,True,True,True,True,True,True
